TargetField,TextField
y,"Please don't let us down on building the Wall and removing the Illegals from this country, i know you will do the Criminals first but We the Deplorables were promised all and then let good ones apply to return."
n,"His crude comments about women during the campaign, along with allegations from some women that Trump inappropriately molested them, are among the issues that have infuriated the protesters."
y,"The best way to defeat the left is just IGNORE THEM , they will eventually .. get tired of talking to themselves and trying to convenience themselves into believing in all their idiotic spew.. and go away.... or better yet send them to the coloring pages ... or give them the pizza place number."
n,"It's not even about Hillary's loss at this point. It's about a pathetic con man that's bamboozled you. Maybe after you see he has no idea what in the hell he's doing or the fact that he will keep back pedaling on his false promises, you will come around to a dimension known as reality."
n,"Illegals and drugs come to the US in planes, boats, trucks and buses. Can someone please tell me why we need a $300 billion wall? Are you Trumpsters realy that stupid?"
c,"We don't expect anyone to change our lives, that's for us to do."
y,"Mr Trump don't forget your promises, build the wall,drained the swamp, repel Obamacare, cancel the refugees migration, and put Hillary on trial, reason we support you.....thank you sir"
c,"You can't convict someone for allegations. Anybody at anytime can say you did something that you didn't, and would you want everybody ready to throw you in and throw away the key. That's not how are system works."
y,i can tell you 2 things it dont matter what the wall cost because mexico will pay for it and WE WON WE WON WE WON you lost HAHAHAJAJHA
y,The best president in the world with my friend
n,"Your asinine, playground insult proves why you voted for Trump. He loves uneducated hillbillies"
c,There's even protests starting in Canada against Trump
y,"One of the happiest moments of my life! My daughter was crying with joy. Family members were texting and me? I was jumping up and down running from tv to tv yelling "" he won, he actually won"" praying and thanking God. I'll never forget it as long as I live, none of my family will."
y,"historic moment i felt so proud for you, your family and the american people , well those who voted for you! stay strong, safe and don't fold mr. president. God bless you, protect you and your family!"
y,This is a movement and the patriotic Americans hired the best man for the job to get our sanity returned and find ourselves again after eight years of radical socialists.
y,"Stick to your promises. Hillary goes to jail once that special prosecutor gets working. Jobs. The wall. You are the boss, now be a true outsider and keep your word!"
y,"Im a millennial. I was first for Bernie and I used to hate you, now I am going to give you a chance to make America great again! I'm really hoping you can fix the mess Obama has done! I know I'm going to loose friends because of this decision."
